text,label,priority
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
frequent power tripping affecting daily operations,Electricity,Medium
street light requires new bulb replacement,Electricity,Low
minor pothole needs filling in residential street,PWD,Low
fire safety training needed for staff,Fire,Low
fire safety signage needs replacement in mall,Fire,Low
burning smell indicating possible fire risk in building Please take action,Fire,Medium
"bridge foundation showing cracks, structural integrity at risk",PWD,High
Reported: electricity meter not recording consumption properly,Electricity,Medium
encroachment blocking main road affecting public access,Municipality,High
fire exit door needs repair in office,Fire,Low
old water line needs replacement soon,Water,Low
Reported: critical road damage causing traffic accident risk,PWD,High
overflowing dustbin on street creating smell,Municipality,Medium
water leakage from main pipeline affecting entire neighborhood Please take action,Water,High
tree branches need pruning for maintenance Please take action,Municipality,Low
minor crack in transformer box,Electricity,Low
critical road damage causing traffic accident risk,PWD,High
broken sidewalk creating walking hazard for citizens,PWD,Medium
encroachment issue needing removal & enforcement action,Municipality,Medium
critical water scarcity affecting hospital and homes,Water,High
water tank needs paint refreshing Please take action,Water,Low
routine light repair and maintenance needed,Electricity,Low
Reported: fire safety signage needs replacement in mall,Fire,Low
electrical burning smell in residential complex,Fire,Medium
critical crime incident requiring immediate response,Police/Traffic,High
health awareness poster placement needed,Health Department,Low
"road marking faded, lines need repainting",Police/Traffic,Low
loose connection at transformer causing sparks intermittently,Electricity,Medium
Reported: street light needs new bulb replacement,Electricity,Low
pest infestation near food storage area Please take action,Health Department,Medium
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
food stall operating without proper hygiene license Please take action,Health Department,Medium
broken electric meter near market area,Electricity,Medium
health awareness poster placement needed Please take action,Health Department,Low
fire exit door needs repair in office,Fire,Low
major pothole on main road causing accidents and vehicle damage,PWD,High
routine traffic sign maintenance required,Police/Traffic,Low
"road marking faded, lines need repainting",Police/Traffic,Low
accident scene without proper barricading setup,Police/Traffic,Medium
routine traffic sign maintenance required Please take action,Police/Traffic,Low
malaria cases reported in residential area,Health Department,Medium
electrical wire partially damaged requires immediate repair,Electricity,Medium
loose connection at transformer causing sparks intermittently Please take action,Electricity,Medium
major water tank rupture flooding the area Please take action,Water,High
"helmet not used by riders, awareness campaign needed Please take action",Police/Traffic,Low
burning smell indicating possible fire risk in building,Fire,Medium
manhole cover missing creating dangerous pit Please take action,PWD,High
fire extinguisher not available in government building,Fire,Medium
water pressure very low in residential area,Water,Medium
Reported: manhole cover missing creating dangerous pit,PWD,High
asphalt patch needed on side street,PWD,Low
minor pothole needs filling in residential street,PWD,Low
garbage accumulation causing disease outbreak,Municipality,High
Reported: street cleaning not done for weeks,Municipality,Medium
Reported: park fence needs minor repair and maintenance,Municipality,Low
routine light repair and maintenance needed,Electricity,Low
Reported: park bench needs repainting and repair,Municipality,Low
water pipe leakage on street resulting in water waste,Water,Medium
"bridge foundation showing cracks, structural integrity at risk",PWD,High
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
water tank needs paint refreshing,Water,Low
broken water tap wasting precious water resource,Water,Medium
concrete pavement crumbling near market,PWD,Medium
park encroachment by unauthorized vendors,Municipality,Medium
"robbery incident on main street, criminal still at large",Police/Traffic,High
routine fire safety equipment maintenance needed,Fire,Low
electric pole fallen and live wires on ground floor,Electricity,High
Reported: severe garbage accumulation causing environmental and health emergency,Municipality,High
street light not working on main road for 3 weeks,Electricity,Medium
water pipe partially damaged causing wastage Please take action,Water,Medium
electricity meter not recording consumption properly,Electricity,Medium
park grass requires regular cutting and maintenance,Municipality,Low
health awareness poster placement needed,Health Department,Low
